web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,marque,prix,adresse,image_lien-src
"1716806875-1","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Chevrolet malibu","https://www.dakarvente.com/annonce-81-chevrolet-malibu.html","Chevrolet malibu","2.000.000  FCFA","Plateau","media/annonces/pics/45e7c8402f450c7c340dad9ea6cd117c.jpg"
"1716806877-2","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Citroën c4","https://www.dakarvente.com/annonce-68-citron-c4.html","Citroën c4","2.500.000  FCFA","Plateau","media/annonces/pics/df349a4bc5310c73e67ef9753e6ad9a6.jpg"
"1716806880-3","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Kia optima","https://www.dakarvente.com/annonce-67-kia-optima.html","Kia optima","8.000.000  FCFA","Plateau","media/annonces/pics/bd89729fd52c6e329d0e1c124194e11c.jpg"
"1716806884-4","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Ford escape","https://www.dakarvente.com/annonce-66-ford-escape.html","Ford escape","6.000.000  FCFA","Plateau","media/annonces/pics/a0b0ff7cb27e1fe363f6afaf977e0334.jpg"
"1716806887-5","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Mercedes 190","https://www.dakarvente.com/annonce-35-mercedes-190.html","Mercedes 190","2.200.000  FCFA","Plateau","media/annonces/pics/e2fcc85dc4ac40372f99e6cea6e24a2f.jpg"
"1716806890-6","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Hyundai tucson","https://www.dakarvente.com/annonce-34-hyundai-tucson.html","Hyundai tucson","3.900.000  FCFA","Plateau","media/annonces/pics/b4f2ba7988e92d5da0dfa956f5598ee2.jpg"
"1716806893-7","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Ford focus","https://www.dakarvente.com/annonce-33-ford-focus.html","Ford focus","2.100.000  FCFA","Plateau","media/annonces/pics/9507729bf4240af9398ed2b3df422551.jpg"
"1716806900-8","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=121","Location de voiture cobalt","https://www.dakarvente.com/annonce-12-location-de-voiture-cobalt.html","Location de voiture cobalt","25.000  FCFA","Plateau","media/annonces/pics/6df9fddf4e48645d5d72ef3b00687e78.jpg"
"1716806908-9","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=120","Hyundai Grandeur!","https://www.dakarvente.com/annonce-373-hyundai-grandeur.html","Hyundai Grandeur!","10.000.000  FCFA","Plateau","media/annonces/pics/fd7539c960eba81f705de2200468e7f3.jpg"
"1716806911-10","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=120","Retroviseur ecran video avec camera avant et","https://www.dakarvente.com/annonce-356-retroviseur-ecran-video-avec-camera-avant-et.html","Retroviseur ecran video avec camera avant et","55.000  FCFA","Plateau","media/annonces/pics/b5c2290694ba2ae6ba7b0710b1965c37.jpg"
"1716806914-11","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=120","Ford mondeo","https://www.dakarvente.com/annonce-353-ford-mondeo.html","Ford mondeo","2.800.000  FCFA","Plateau","media/annonces/pics/58a7e4f0e060f7e521ca954bc2a408ab.jpg"
"1716806917-12","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=120","Ford focus","https://www.dakarvente.com/annonce-320-ford-focus.html","Ford focus","5.500.000  FCFA","Plateau","media/annonces/pics/8cadaf7ecc919d3a1cd366f669b1714e.jpg"
"1716806920-13","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=120","Vtt nakamura","https://www.dakarvente.com/annonce-360-vtt-nakamura.html","Vtt nakamura","260.000  FCFA","Plateau","media/annonces/pics/bf95c55b3982588d5cbb013975d75aa1.jpg"
"1716806923-14","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=120","Volkswagen jetta","https://www.dakarvente.com/annonce-300-volkswagen-jetta.html","Volkswagen jetta","5.200.000  FCFA","Plateau","media/annonces/pics/514a24e4d04b801347942450cb2a1fbd.jpg"
"1716806926-15","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=120","Honda hornet 600","https://www.dakarvente.com/annonce-354-honda-hornet-600.html","Honda hornet 600","1.000.000  FCFA","Plateau","media/annonces/pics/534b67de05771d7f50f730b269ae1e0f.jpg"
