web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,marque,prix,adresse,image_lien-src
"1716721306-1","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Gilera piaggio stalker 50","https://www.dakarvente.com/annonce-98-gilera-piaggio-stalker-50.html","Gilera piaggio stalker 50","350.000  FCFA","Plateau","media/annonces/pics/d21019275a66badba841be57ea1c4297.jpg"
"1716721310-2","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","T-max","https://www.dakarvente.com/annonce-9-t-max.html","T-max","1.700.000  FCFA","Plateau","media/annonces/pics/78b7dd4158bd818b569ec884c624ade2.jpg"
"1716721315-3","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda sh","https://www.dakarvente.com/annonce-194-honda-sh.html","Honda sh","1.200.000  FCFA","Plateau","media/annonces/pics/6f3687b2965ffde414a321f13dbd7537.jpg"
"1716721320-4","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda hornet 600","https://www.dakarvente.com/annonce-196-honda-hornet-600.html","Honda hornet 600","1.200.000  FCFA","Plateau","media/annonces/pics/6f9a2918bfdb5e060105060b6f2026ba.jpg"
"1716721324-5","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Tmax 530","https://www.dakarvente.com/annonce-195-tmax-530.html","Tmax 530","2.300.000  FCFA","Plateau","media/annonces/pics/940f418806fbd25c6f871ba3b36887f1.jpg"
"1716721334-6","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Vespa 250","https://www.dakarvente.com/annonce-256-vespa-250.html","Vespa 250","550.000  FCFA","Plateau","media/annonces/pics/a8b8f7d93d2b0a32eed02e11efd3bb71.jpg"
"1716721337-7","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Nexus m-35","https://www.dakarvente.com/annonce-254-nexus-m-35.html","Nexus m-35","750.000  FCFA","Plateau","media/annonces/pics/71026334934e23ad867113c1dc35ca15.jpg"
"1716721341-8","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Kymko 4 temps 125","https://www.dakarvente.com/annonce-252-kymko-4-temps-125.html","Kymko 4 temps 125","140.000  FCFA","Plateau","media/annonces/pics/93a04ba02fde08d07eacad9a8fa3664e.jpg"
"1716721344-9","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter agility","https://www.dakarvente.com/annonce-253-scooter-agility.html","Scooter agility","255.000  FCFA","Plateau","media/annonces/pics/31b95ae0f60850fd690b98dd47c13ccd.jpg"
"1716721347-10","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda hornet 600","https://www.dakarvente.com/annonce-354-honda-hornet-600.html","Honda hornet 600","1.000.000  FCFA","Plateau","media/annonces/pics/534b67de05771d7f50f730b269ae1e0f.jpg"
"1716721352-11","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 500","https://www.dakarvente.com/annonce-355-tmax-500.html","Tmax 500","1.650.000  FCFA","Plateau","media/annonces/pics/7793c38cf9962a54a16a72257c89840a.jpg"
"1716721363-12","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda transalp 700","https://www.dakarvente.com/annonce-730-honda-transalp-700.html","Honda transalp 700","2.000.000  FCFA","Plateau","media/annonces/pics/0f5d602de76d89d2db55e555f94192ac.jpg"
"1716721367-13","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Vend hoverboard led venant des USA","https://www.dakarvente.com/annonce-913-vend-hoverboard-led-venant-des-usa.html","Vend hoverboard led venant des USA","100.000  FCFA","Plateau","media/annonces/pics/7c9b21df1416530386abf290c945ea98.png"
"1716721373-14","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Sh 125 injection","https://www.dakarvente.com/annonce-981-sh-125-injection.html","Sh 125 injection","","Plateau","media/annonces/pics/3f2353e92c3e1d282dea68b6bbdb2b74.jpeg"
"1716721378-15","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","SUPER MOTOS","https://www.dakarvente.com/annonce-1048-super-motos.html","SUPER MOTOS","1.250.000  FCFA","Plateau","media/annonces/pics/eb56022d6a8013cae64a5150a0b9c3bf.jpg"
"1716721383-16","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","TMAX 530 DX","https://www.dakarvente.com/annonce-1217-tmax-530-dx.html","TMAX 530 DX","4.500.000  FCFA","Plateau","media/annonces/pics/ea5badd663c7384eb8474729a16640a2.jpg"
"1716721386-17","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Liberty 4temps50","https://www.dakarvente.com/annonce-1231-liberty-4temps50.html","Liberty 4temps50","700.000  FCFA","Plateau","media/annonces/pics/64a126180efdaee98e3edc44042c2018.jpg"
"1716721395-18","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Xc 300 versity","https://www.dakarvente.com/annonce-1308-xc-300-versity.html","Xc 300 versity","550.000  FCFA","Plateau","media/annonces/pics/e31e82b3e3e820c8e6d18f8b9c5016d0.jpg"
"1716721399-19","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter  Typhon","https://www.dakarvente.com/annonce-1307-scooter-typhon.html","Scooter  Typhon","","Plateau","media/annonces/pics/55f695478d927e3399db181aa75a59d3.jpg"
"1716721403-20","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","T-max 530 iron","https://www.dakarvente.com/annonce-1435-t-max-530-iron.html","T-max 530 iron","4.000.000  FCFA","Plateau","media/annonces/pics/ccd4ecb22b3fb8b33313220e22078a4b.jpg"
"1716721407-21","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda sh 125","https://www.dakarvente.com/annonce-1448-honda-sh-125.html","Honda sh 125","975.000  FCFA","Plateau","media/annonces/pics/a6f26f0bf851b367f6d7b331099614c9.jpg"
"1716721411-22","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter honda arobase","https://www.dakarvente.com/annonce-1449-scooter-honda-arobase.html","Scooter honda arobase","250.000  FCFA","Plateau","media/annonces/pics/37fd3ad1f88e4d4a401ccec3baed1fb7.jpg"
"1716721414-23","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Typhoon","https://www.dakarvente.com/annonce-1521-typhoon.html","Typhoon","220.000  FCFA","Plateau","media/annonces/pics/a32417e4ab620ff7258d962947c31aec.jpg"
"1716721418-24","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 500 injection en parfait état","https://www.dakarvente.com/annonce-1572-vends-tmax-500-injection-en-parfait-tat-contact-775152740.html","Tmax 500 injection en parfait état","1.200.000  FCFA","Plateau","media/annonces/pics/3a31d94713e909340dff48cfccf10360.jpg"
