web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,marque,prix,adresse,image_lien-src
"1716802988-1","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 6 simple","https://www.dakarvente.com/annonce-140-iphone-6-simple.html","Iphone 6 simple","130.000  FCFA","Plateau","media/annonces/pics/9dc1cf2ff3a464553891afc718704bb5.jpg"
"1716802991-2","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Vends un Tecno camon x pro","https://www.dakarvente.com/annonce-129-vends-un-tecno-camon-x-pro.html","Vends un Tecno camon x pro","135.000  FCFA","Plateau","media/annonces/pics/21192c68f3734e184c4a49a3d2bd73fc.jpg"
"1716802994-3","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Ipad air 1","https://www.dakarvente.com/annonce-51-ipad-air-1.html","Ipad air 1","100.000  FCFA","Plateau","media/annonces/pics/5ce958ccba81e204596af621e56f446f.jpg"
"1716802997-4","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy grand prime plus 4g","https://www.dakarvente.com/annonce-49-samsung-galaxy-grand-prime-plus-4g.html","Samsung galaxy grand prime plus 4g","57.000  FCFA","Plateau","media/annonces/pics/f57c0f01b47c67ad134a7304efe62f95.jpg"
"1716803000-5","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 5s","https://www.dakarvente.com/annonce-48-iphone-5s.html","Iphone 5s","80.000  FCFA","Plateau","media/annonces/pics/9721713600cdfdc2646d9778be3e0cfc.jpeg"
"1716803002-6","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-47-samsung-galaxy-s6-edge.html","Samsung galaxy s6 edge","159.900  FCFA","Plateau","media/annonces/pics/7e827f0d8ed40feeeff65a5b0ef747b8.jpeg"
"1716803005-7","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Motorola e4 plus","https://www.dakarvente.com/annonce-46-motorola-e4-plus.html","Motorola e4 plus","89.900  FCFA","Plateau","media/annonces/pics/92c7994737a276dd1fc2c290411a5ff3.jpeg"
"1716803008-8","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Galaxy note 8","https://www.dakarvente.com/annonce-16-galaxy-note-8.html","Galaxy note 8","430.000  FCFA","Plateau","media/annonces/pics/871f957aa0a064da0a2befd2c53ab42c.jpg"
"1716803011-9","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j3","https://www.dakarvente.com/annonce-15-samsung-galaxy-j3.html","Samsung galaxy j3","69.900  FCFA","Plateau","media/annonces/pics/588aab0a7019eeb3f3ca0741a651674a.png"
"1716803014-10","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 8 plus","https://www.dakarvente.com/annonce-175-iphone-8-plus.html","Iphone 8 plus","500.000  FCFA","Plateau","media/annonces/pics/bba3d66b958b8ce0a3cef3ce70057d68.jpg"
"1716803017-11","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy grand prime+ 4g","https://www.dakarvente.com/annonce-210-samsung-galaxy-grand-prime-4g.html","Samsung galaxy grand prime+ 4g","57.900  FCFA","Plateau","media/annonces/pics/6a85de31e6379f2390e3314eec87fb31.jpg"
"1716803020-12","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Iphone 7 plus","https://www.dakarvente.com/annonce-212-iphone-7-plus.html","Iphone 7 plus","330.000  FCFA","Plateau","media/annonces/pics/dd69b45b2c4ca9789e968643f1338003.jpeg"
"1716803023-13","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tablette enfant android 9pouces polaroid","https://www.dakarvente.com/annonce-213-tablette-enfant-android-9pouces-polaroid.html","Tablette enfant android 9pouces polaroid","32.500  FCFA","Plateau","media/annonces/pics/28ffdeee367c3fddf25cca65a89dc226.jpg"
"1716803025-14","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tecno f2","https://www.dakarvente.com/annonce-211-tecno-f2.html","Tecno f2","39.900  FCFA","Plateau","media/annonces/pics/88a806ac2389205be1c624a51af50acc.jpg"
"1716803028-15","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Samsung galaxy j3","https://www.dakarvente.com/annonce-209-samsung-galaxy-j3.html","Samsung galaxy j3","69.900  FCFA","Plateau","media/annonces/pics/c0907d38ee0399aeb2898a27f1d815f1.jpg"
"1716803031-16","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=46","Tecno w2","https://www.dakarvente.com/annonce-220-tecno-w2.html","Tecno w2","37.000  FCFA","Plateau","media/annonces/pics/6686654eb11158bcfef5bdc6521f4ce8.jpg"
"1716803038-17","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Iphone 6s","https://www.dakarvente.com/annonce-222-iphone-6s.html","Iphone 6s","169.900  FCFA","Plateau","media/annonces/pics/2dca2e50e33253daee573995c6b520f5.jpg"
"1716803041-18","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Tecno spark 2","https://www.dakarvente.com/annonce-265-tecno-spark-2.html","Tecno spark 2","64.900  FCFA","Plateau","media/annonces/pics/4536f210e514c85d86298e11f7ff263b.png"
"1716803044-19","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy j4","https://www.dakarvente.com/annonce-267-samsung-galaxy-j4.html","Samsung galaxy j4","105.000  FCFA","Plateau","media/annonces/pics/0086d33c2014997a88213f1f87877017.png"
"1716803047-20","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Iphone 5s 16gb gold","https://www.dakarvente.com/annonce-270-iphone-5s-16gb-gold.html","Iphone 5s 16gb gold","94.900  FCFA","Plateau","media/annonces/pics/77d0bd6ac35276e49277ce26777d8e5c.jpg"
"1716803050-21","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Invens f3","https://www.dakarvente.com/annonce-296-invens-f3.html","Invens f3","47.000  FCFA","Plateau","media/annonces/pics/c4bcc6a1445c33727d86e255240e4a53.jpg"
"1716803053-22","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Tecno x camon","https://www.dakarvente.com/annonce-297-tecno-x-camon.html","Tecno x camon","114.900  FCFA","Plateau","media/annonces/pics/5abaa148aae9af69d6b2987266c3ac29.png"
"1716803056-23","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy s6 edge","https://www.dakarvente.com/annonce-298-samsung-galaxy-s6-edge.html","Samsung galaxy s6 edge","160.000  FCFA","Plateau","media/annonces/pics/b09d788c7794fd2d16c632fa3e32d6ea.jpg"
"1716803059-24","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=45","Samsung galaxy j1 ace","https://www.dakarvente.com/annonce-315-samsung-galaxy-j1-ace.html","Samsung galaxy j1 ace","44.900  FCFA","Plateau","media/annonces/pics/b6d7220266fad3290bda735b1883d744.jpg"
